time value latency
Month-1 Alpha 3.721
Month-1 Alpha 2.493
Month-1 Alpha 7.509
Month-1 Alpha 4.549
Month-1 Alpha 3.13
Month-1 Alpha 2.904
Month-1 Alpha 2.112
Month-1 Charlie 3.298
Month-1 Charlie 3.754
Month-1 Alpha 21.068
Month-1 Alpha 8.926
Month-1 Alpha 2.498
Month-1 Alpha 2.863
Month-1 Alpha 11.075
Month-1 Alpha 3.976
Month-1 Alpha 2.289
Month-1 Alpha 8.225
Month-1 Alpha 16.343
Month-1 Alpha 12.349
Month-1 Alpha 9.063
Month-1 Alpha 4.539
Month-1 Echo 5.139
Month-1 Echo 18.306
Month-1 Alpha 12.807
Month-1 Alpha 4.568
Month-1 Alpha 9.93
Month-1 Alpha 22.257
Month-1 Charlie 6.419
Month-1 Alpha 6.147
Month-1 Alpha 2.509
Month-1 Alpha 7.445
Month-1 Alpha 13.476
Month-1 Alpha 5.27
Month-1 Alpha 2.799
Month-1 Alpha 2.561
Month-1 Alpha 1.883
Month-1 Delta 139.61
Month-1 Alpha 11.232
Month-1 Alpha 4.898
Month-1 Delta 34.524
Month-1 Delta 11.403
Month-1 Delta 11.029
Month-1 Delta 11.843
Month-1 Delta 11.206
Month-1 Delta 10.559
Month-1 Alpha 2.069
Month-1 Delta 9.833
Month-1 Delta 10.039
Month-1 Delta 10.062
Month-1 Delta 11.028
Month-1 Delta 10.74
Month-1 Delta 14.971
Month-1 Delta 10.724
Month-1 Delta 13.847
Month-1 Delta 12.163
Month-1 Delta 12.625
Month-1 Delta 12.084
Month-1 Delta 12.145
Month-1 Delta 11.762
Month-1 Delta 11.4
Month-1 Alpha 5.539
Month-1 Delta 11.188
Month-1 Delta 12.426
Month-1 Delta 11.99
Month-1 Alpha 11.596
Month-1 Alpha 2.975
Month-1 Delta 40.658
Month-1 Delta 13.767
Month-1 Delta 12.469
Month-1 Delta 13.625
Month-1 Delta 12.415
Month-1 Delta 12.886
Month-1 Delta 12.845
Month-1 Delta 13.686
Month-1 Delta 13.11
Month-1 Alpha 29.902
Month-1 Delta 13.908
Month-1 Delta 12.062
Month-1 Delta 12.452
Month-1 Delta 12.428
Month-1 Delta 12.387
Month-1 Delta 11.996
Month-1 Delta 12.458
Month-1 Alpha 4.587
Month-1 Delta 10.802
Month-1 Delta 11.518
Month-1 Alpha 3.156
Month-1 Delta 18.023
Month-1 Alpha 2.032
Month-1 Delta 10.285
Month-1 Delta 12.138
Month-1 Delta 11.242
Month-1 Delta 11.188
Month-1 Delta 11.836
Month-1 Alpha 77.253
Month-1 Alpha 53.954
Month-1 Echo 36.177
Month-1 Delta 37.641
Month-1 Delta 12.261
Month-1 Delta 12.391
Month-1 Delta 13.154
Month-1 Delta 11.282
Month-1 Alpha 7.425
Month-1 Alpha 1.997
Month-1 Alpha 3.7
Month-1 Alpha 2.258
Month-1 Alpha 2.593
Month-1 Alpha 31.545
Month-1 Alpha 59.952
Month-1 Alpha 36.253
Month-1 Alpha 2.177
Month-1 Alpha 9.012
Month-1 Alpha 17.176
Month-1 Alpha 22.506
Month-1 Alpha 36.734
Month-1 Alpha 3.101
Month-1 Alpha 12.124
Month-1 Alpha 47.999
Month-1 Charlie 4.921
Month-1 Alpha 3.467
Month-1 Alpha 4.406
Month-1 Alpha 3.131
Month-1 Alpha 2.936
Month-1 Alpha 120.475
Month-1 Alpha 8.293
Month-1 Alpha 2.91
Month-1 Alpha 3.086
Month-1 Alpha 1.947
Month-1 Alpha 2.215
Month-1 Alpha 3.553
Month-1 Alpha 40.132
Month-1 Alpha 2.881
Month-1 Alpha 49.938
Month-1 Alpha 20.829
Month-1 Alpha 8.9
Month-1 Alpha 6.456
Month-1 Alpha 25.337
Month-1 Alpha 9.793
Month-1 Charlie 6.474
Month-1 Alpha 9.1
Month-1 Bravo 2.783
Month-1 Bravo 25.042
Month-1 Bravo 4.253
Month-1 Bravo 5.413
Month-1 Bravo 3.435
Month-1 Bravo 2.926
Month-1 Bravo 3.569
Month-1 Delta 13.974
Month-1 Delta 14.963
Month-1 Bravo 4.353
Month-1 Alpha 15.96
Month-1 Alpha 13.278
Month-1 Echo 27.853
Month-1 Alpha 23.25
Month-1 Delta 38.864
Month-1 Alpha 17.184
Month-1 Delta 20.298
Month-1 Alpha 6.806
Month-1 Alpha 6.532
Month-1 Delta 12.382
Month-1 Alpha 7.098
Month-1 Alpha 11.256
Month-1 Alpha 8.112
Month-1 Alpha 16.694
Month-1 Alpha 22.728
Month-1 Alpha 5.508
Month-1 Alpha 8.798
Month-1 Alpha 6.419
Month-1 Alpha 8.317
Month-1 Alpha 10.197
Month-1 Alpha 28.661
Month-1 Alpha 5.894
Month-1 Alpha 5.794
Month-1 Charlie 5.212
Month-1 Charlie 2.431
Month-1 Charlie 2.776
Month-1 Charlie 3.273
Month-1 Alpha 10.628
Month-1 Alpha 5.843
Month-1 Alpha 12.424
Month-1 Alpha 10.919
Month-1 Alpha 10.311
Month-1 Alpha 29.61
Month-1 Alpha 10.963
Month-1 Alpha 45.561
Month-1 Alpha 49.948
Month-1 Alpha 11.282
Month-1 Alpha 15.145
Month-1 Alpha 2.625
Month-1 Alpha 2.168
Month-1 Alpha 1.5
Month-1 Alpha 2.249
Month-1 Alpha 1.629
Month-1 Alpha 54.535
Month-1 Alpha 10.451
Month-1 Alpha 4.578
Month-1 Alpha 15.81
Month-1 Alpha 13.91
Month-1 Alpha 2.006
Month-1 Alpha 9.355
Month-1 Alpha 12.421
Month-1 Alpha 4.649
Month-1 Alpha 4.144
Month-1 Alpha 1.835
Month-1 Alpha 7.18
Month-1 Alpha 2.143
Month-1 Alpha 2.274
Month-1 Alpha 23.578
Month-1 Alpha 5.016
Month-1 Alpha 30.965
Month-1 Alpha 26.801
Month-1 Alpha 5.379
Month-1 Alpha 55.145
Month-1 Alpha 45.713
Month-1 Alpha 2.112
Month-1 Echo 5.051
Month-1 Echo 2.841
Month-1 Alpha 3.52
Month-1 Alpha 9.921
Month-1 Alpha 7.514
Month-1 Alpha 5.082
Month-1 Alpha 10.885
Month-1 Alpha 2.154
Month-1 Alpha 132.159
Month-1 Alpha 8.859
Month-1 Alpha 2.577
Month-1 Alpha 3.639
Month-1 Alpha 16.505
Month-1 Alpha 4.119
Month-1 Alpha 2.232
Month-1 Alpha 9.75
Month-1 Alpha 1.932
Month-1 Alpha 4.369
Month-1 Alpha 49.747
Month-1 Alpha 10.453
Month-1 Foxtrot 11.179
Month-1 Alpha 29.57
Month-1 Alpha 64.762
Month-1 Alpha 29.846
Month-1 Alpha 3.762
Month-1 Alpha 3.282
Month-1 Alpha 2.486
Month-1 Alpha 2.554
Month-1 Alpha 15.738
Month-1 Alpha 6.843
Month-1 Alpha 3.819
Month-1 Alpha 9.58
Month-1 Alpha 2.605
Month-1 Alpha 1.981
Month-1 Alpha 2.918
Month-1 Alpha 14.306
Month-1 Alpha 8.89
Month-1 Alpha 3.419
Month-1 Alpha 11.305
Month-1 Alpha 2.35
Month-1 Alpha 5.663
Month-1 Alpha 3.257
Month-1 Alpha 2.614
Month-1 Alpha 2.459
Month-1 Alpha 19.377
Month-1 Alpha 9.365
Month-1 Alpha 6.735
Month-1 Alpha 3.403
Month-1 Alpha 2.424
Month-1 Alpha 8.61
Month-1 Foxtrot 6.908
Month-1 Alpha 8.691
Month-1 Alpha 21.703
Month-1 Alpha 12.534
Month-1 Alpha 18.406
Month-1 Alpha 4.859
Month-1 Alpha 24.461
Month-1 Alpha 3.154
Month-1 Alpha 12.366
Month-1 Alpha 23.737
Month-1 Alpha 23.498
Month-1 Alpha 5.008
Month-1 Alpha 28.407
Month-1 Alpha 1.673
Month-1 Alpha 9.65
Month-1 Alpha 11.586
Month-1 Alpha 20.338
Month-1 Alpha 14.235
Month-1 Alpha 9.525
Month-1 Alpha 2.579
Month-1 Alpha 6.082
Month-1 Alpha 93.606
Month-1 Alpha 6.162
Month-1 Alpha 2.59
Month-1 Alpha 2.176
Month-1 Alpha 2.019
Month-1 Alpha 1.985
Month-1 Alpha 1.897
Month-1 Alpha 2.099
Month-1 Alpha 1.985
Month-1 Alpha 2.116
Month-1 Alpha 2.904
Month-1 Alpha 3.472
Month-1 Alpha 2.955
Month-1 Alpha 3.394
Month-1 Alpha 3.454
Month-1 Alpha 3.355
Month-1 Alpha 4.172
Month-1 Alpha 2.144
Month-1 Alpha 1.828
Month-1 Alpha 1.643
Month-1 Alpha 2.336
Month-1 Foxtrot 20.004
Month-1 Alpha 12.226
Month-1 Alpha 4.708
Month-1 Alpha 4.612
Month-1 Alpha 8.911
Month-1 Alpha 4.212
Month-1 Alpha 12.935
Month-1 Alpha 4.466
Month-1 Alpha 1.984
Month-1 Alpha 2.589
Month-1 Alpha 2.117
Month-1 Alpha 11.282
Month-1 Alpha 2.299
Month-1 Alpha 3.72
Month-1 Alpha 37.984
Month-1 Alpha 14.79
Month-1 Alpha 2.82
Month-1 Alpha 151.343
Month-1 Alpha 16.205
Month-1 Alpha 8.802
Month-1 Alpha 2.737
Month-1 Alpha 32.996
Month-1 Alpha 2.241
Month-1 Alpha 2.232
Month-1 Alpha 2.06
Month-1 Alpha 2.416
Month-1 Alpha 6.96
Month-1 Charlie 3.546
Month-1 Charlie 15.019
Month-1 Charlie 3.323
Month-1 Alpha 11.109
Month-1 Alpha 67.959
Month-1 Bravo 16.851
Month-1 Bravo 7.649
Month-1 Alpha 23.539
Month-1 Charlie 7.276
Month-1 Delta 25.85
Month-1 Delta 26.119
Month-1 Delta 20.659
Month-1 Delta 21.683
Month-1 Delta 23.25
Month-1 Delta 21.453
Month-1 Delta 21.354
Month-1 Bravo 7.926
Month-1 Alpha 6.129
Month-1 Alpha 13.948
Month-1 Delta 20.006
Month-1 Alpha 2.464
Month-1 Alpha 2.305
Month-1 Alpha 8.954
Month-1 Alpha 4.59
Month-1 Alpha 5.134
Month-1 Alpha 13.412
Month-1 Alpha 4.711
Month-1 Alpha 63.35
Month-1 Alpha 2.622
Month-1 Alpha 2.346
Month-1 Bravo 11.652
Month-1 Alpha 8.957
Month-1 Alpha 4.393
Month-1 Alpha 3.657
Month-1 Alpha 4.112
Month-1 Alpha 3.433
Month-1 Alpha 4.399
Month-1 Alpha 3.578
Month-1 Alpha 23.501
Month-1 Alpha 34.084
Month-1 Alpha 4.334
Month-1 Alpha 12.632
Month-1 Alpha 3.283
Month-1 Alpha 3.331
Month-1 Alpha 17.3
Month-1 Alpha 4.179
Month-1 Alpha 16.631
Month-1 Alpha 25.534
Month-1 Alpha 20.58
Month-1 Alpha 7.163
Month-1 Alpha 2.565
Month-1 Alpha 1.959
Month-1 Alpha 2.774
Month-1 Alpha 15.146
Month-1 Alpha 14.106
Month-1 Charlie 36.141
Month-1 Alpha 6.579
Month-1 Alpha 6.341
Month-1 Alpha 4.373
Month-1 Alpha 2.216
Month-1 Alpha 7.668
Month-1 Alpha 4.778
Month-1 Alpha 3.372
Month-1 Alpha 3.719
Month-1 Alpha 3.892
Month-1 Alpha 2.544
Month-1 Alpha 2.463
Month-1 Alpha 1.872
Month-1 Alpha 2.248
Month-1 Alpha 31.356
Month-1 Alpha 22.589
Month-1 Alpha 5.882
Month-1 Delta 49.118
Month-1 Delta 32.304
Month-1 Delta 23.723
Month-1 Alpha 7.788
Month-1 Alpha 3.926
Month-1 Delta 18.62
Month-1 Delta 19.327
Month-1 Delta 20.735
Month-1 Delta 19.995
Month-1 Alpha 11.854
Month-1 Alpha 5.808
Month-1 Alpha 25.639
Month-1 Alpha 20.469
Month-1 Alpha 19.494
Month-1 Alpha 6.541
Month-1 Alpha 3.732
Month-1 Alpha 4.275
Month-1 Alpha 4.733
Month-1 Alpha 3.134
Month-1 Alpha 109.211
Month-1 Alpha 2.334
Month-1 Alpha 7.051
Month-1 Alpha 35.643
Month-1 Delta 163.445
Month-1 Delta 64.496
Month-1 Delta 48.407
Month-1 Delta 24.246
Month-1 Delta 22.611
Month-1 Delta 24.86
Month-1 Bravo 2.995
Month-1 Alpha 20.618
Month-1 Alpha 2.37
Month-1 Alpha 53.387
Month-1 Alpha 7.253
Month-1 Echo 16.855
Month-1 Alpha 48.6
Month-1 Alpha 14.487
Month-1 Echo 12.723
Month-1 Echo 4.076
Month-1 Delta 6.069
Month-1 Delta 2.76
Month-1 Alpha 4.024
Month-1 Alpha 10.677
Month-1 Alpha 8.511
Month-1 Delta 3.839
Month-1 Delta 3.23
Month-1 Delta 18.691
Month-1 Delta 2.714
Month-1 Alpha 32.277
Month-1 Alpha 78.466
Month-1 Alpha 63.97
Month-1 Alpha 18.995
Month-1 Delta 3.43
Month-1 Alpha 6.927
Month-1 Alpha 9.219
Month-1 Alpha 14.167
Month-1 Delta 3.978
Month-1 Delta 4.375
Month-1 Alpha 2.049
Month-1 Alpha 12.147
Month-1 Alpha 11.59
Month-1 Alpha 10.146
Month-1 Alpha 34.846
Month-1 Alpha 28.436
Month-1 Alpha 11.534
Month-1 Alpha 12.058
Month-1 Alpha 16.428
Month-1 Alpha 2.314
Month-1 Alpha 5.537
Month-1 Alpha 69.039
Month-1 Alpha 51.284
Month-1 Alpha 217.3
Month-1 Alpha 2.767
Month-1 Alpha 18.395
Month-1 Alpha 10.453
Month-1 Alpha 6.653
Month-1 Alpha 11.637
Month-1 Alpha 2.426
Month-1 Alpha 2.554
Month-1 Alpha 2.139
Month-1 Delta 11.252
Month-1 Alpha 23.396
Month-1 Alpha 15.438
Month-1 Alpha 2.602
Month-1 Alpha 3.195
Month-1 Alpha 4.412
Month-1 Charlie 16.554
Month-1 Alpha 31.224
Month-1 Alpha 34.78
Month-1 Alpha 18.799
Month-1 Delta 7.154
Month-1 Alpha 20.913
Month-1 Alpha 9.129
Month-1 Alpha 2.607
Month-1 Alpha 2.336
Month-1 Foxtrot 82.317
Month-1 Alpha 3.183
Month-1 Alpha 7.548
Month-1 Alpha 4.438
Month-1 Alpha 2.262
Month-1 Alpha 5.461
Month-1 Delta 172.101
Month-1 Delta 22.154
Month-1 Echo 17.994
Month-1 Echo 5.485
Month-1 Echo 13.292
Month-1 Alpha 18.258
Month-1 Alpha 35.115
Month-1 Alpha 5.529
Month-1 Alpha 32.457
Month-1 Alpha 13.229
Month-1 Alpha 6.716
Month-1 Alpha 1.816
Month-1 Alpha 2.847
Month-1 Alpha 10.304
Month-1 Alpha 3.978
Month-1 Alpha 2.484
Month-1 Alpha 2.327
Month-1 Alpha 2.47
Month-1 Alpha 26.162
Month-1 Alpha 3.185
Month-1 Alpha 19.951
Month-1 Alpha 1.528
Month-1 Alpha 1.495
Month-1 Alpha 2.472
Month-1 Alpha 33.117
Month-1 Alpha 13.164
Month-1 Alpha 3.97
Month-1 Alpha 3.113
Month-1 Alpha 9.123
Month-1 Alpha 27.526
Month-1 Alpha 11.311
Month-1 Alpha 143.272
Month-1 Charlie 8.355
Month-1 Alpha 7.245
Month-1 Alpha 19.043
Month-1 Alpha 2.71
Month-1 Alpha 5.407
Month-1 Alpha 1.964
Month-1 Alpha 4.439
Month-1 Alpha 3.268
Month-1 Alpha 43.478
Month-1 Alpha 3.066
Month-1 Alpha 63.371
Month-1 Alpha 17.147
Month-1 Alpha 31.46
Month-1 Alpha 9.358
Month-1 Foxtrot 6.378
Month-1 Foxtrot 7.773
Month-1 Alpha 5.743
Month-1 Alpha 5.112
Month-1 Alpha 7.832
Month-1 Alpha 36.078
Month-1 Alpha 24.155
Month-1 Alpha 2.263
Month-1 Alpha 3.767
Month-1 Alpha 7.288
Month-1 Alpha 2.216
Month-1 Alpha 2.449
Month-1 Alpha 2.832
Month-1 Alpha 11.63
Month-1 Charlie 6.818
Month-1 Alpha 5.827
Month-1 Alpha 14.753
Month-1 Alpha 4.839
Month-1 Alpha 4.363
Month-1 Alpha 18.59
Month-1 Alpha 13.14
Month-1 Alpha 16.201
Month-1 Alpha 11.155
Month-1 Alpha 8.594
Month-1 Alpha 7.09
Month-1 Alpha 14.753
Month-1 Alpha 7.401
Month-1 Alpha 3.545
Month-1 Alpha 2.642
Month-1 Alpha 2.603
Month-1 Alpha 2.774
Month-1 Echo 5.517
Month-1 Alpha 2.996
Month-1 Alpha 4.679
Month-1 Alpha 2.479
Month-1 Alpha 3.029
Month-1 Alpha 2.277
Month-1 Alpha 2.283
Month-1 Alpha 6.569
Month-1 Alpha 8.948
Month-1 Echo 2.808
Month-1 Echo 2.221
Month-1 Echo 3.41
Month-1 Alpha 2.518
Month-1 Alpha 5.555
Month-1 Echo 5.58
Month-1 Echo 30.105
Month-1 Alpha 6.544
Month-1 Alpha 2.956
Month-1 Alpha 2.174
Month-1 Alpha 46.303
Month-1 Echo 26.933
Month-1 Echo 26.182
Month-1 Echo 27.07
Month-1 Echo 30.372
Month-1 Alpha 21.753
Month-1 Echo 24.511
Month-1 Echo 24.894
Month-1 Alpha 2.728
Month-1 Alpha 14.051
Month-1 Alpha 7.829
Month-1 Alpha 6.346
Month-1 Foxtrot 19.908
Month-1 Foxtrot 4.396
Month-1 Foxtrot 3.582
Month-1 Alpha 22.562
Month-1 Alpha 9.793
Month-1 Alpha 3.974
Month-1 Delta 51.936
Month-1 Alpha 20.723
Month-1 Alpha 3.516
Month-1 Alpha 4.64
Month-1 Delta 35.242
Month-1 Alpha 6.592
Month-1 Alpha 9.329
Month-1 Alpha 9.382
Month-1 Alpha 5.636
Month-1 Charlie 7.663
Month-1 Alpha 1.468
Month-1 Alpha 1.856
Month-1 Alpha 4.396
Month-1 Alpha 3.644
Month-1 Alpha 12.472
Month-1 Alpha 10.474
Month-1 Alpha 14.435
Month-1 Alpha 3.514
Month-1 Alpha 3.761
Month-1 Alpha 2.058
Month-1 Alpha 2.409
Month-1 Alpha 8.94
Month-1 Alpha 5.724
Month-1 Alpha 3.732
Month-1 Alpha 9.263
Month-1 Alpha 5.203
Month-1 Alpha 5.317
Month-1 Echo 6.801
Month-1 Alpha 6.067
Month-1 Echo 2.814
Month-1 Echo 2.907
Month-1 Echo 2.353
Month-1 Echo 1.878
Month-1 Alpha 4.63
Month-1 Alpha 20.831
Month-1 Alpha 2.909
Month-1 Alpha 8.639
Month-1 Alpha 13.579
Month-1 Alpha 3.287
Month-1 Alpha 2.238
Month-1 Alpha 14.882
Month-1 Alpha 12.502
Month-1 Alpha 6.762
Month-1 Alpha 9.639
Month-1 Alpha 6.859
Month-1 Alpha 5.307
Month-1 Charlie 8.078
Month-1 Bravo 4.269
Month-1 Alpha 4.936
Month-1 Alpha 2.061
Month-1 Alpha 1.894
Month-1 Alpha 14.462
Month-1 Alpha 9.152
Month-1 Alpha 5.072
Month-1 Alpha 53.625
Month-1 Alpha 50.074
Month-1 Alpha 7.365
Month-1 Alpha 5.02
Month-1 Alpha 4.887
Month-1 Alpha 3.02
Month-1 Alpha 6.289
Month-1 Alpha 25.843
Month-1 Alpha 2.803
Month-1 Alpha 6.046
Month-1 Alpha 4.403
Month-1 Alpha 9.229
Month-1 Alpha 3.418
Month-1 Alpha 7.655
Month-1 Alpha 14.805
Month-1 Alpha 4.543
Month-1 Alpha 4.049
Month-1 Alpha 3.636
Month-1 Alpha 46.489
Month-1 Alpha 7.754
Month-1 Alpha 6.587
Month-1 Alpha 5.995
Month-1 Alpha 5.973
Month-1 Alpha 6.072
Month-1 Alpha 18.353
Month-1 Alpha 4.212
Month-1 Alpha 5.839
Month-1 Alpha 6.373
Month-1 Alpha 7.418
Month-1 Alpha 24.841
Month-1 Alpha 6.205
Month-1 Charlie 10.104
Month-1 Delta 39.724
Month-1 Delta 42.402
Month-1 Delta 29.615
Month-1 Alpha 2.4
Month-1 Alpha 8.745
Month-1 Delta 11.385
Month-1 Delta 10.782
Month-1 Delta 12.076
Month-1 Alpha 6.44
Month-1 Alpha 6.431
Month-1 Alpha 7.841
Month-1 Alpha 9.497
Month-1 Alpha 16.378
Month-1 Delta 25.848
Month-1 Delta 22.368
Month-1 Delta 18.85
Month-1 Delta 15.43
Month-1 Delta 12.35
Month-1 Delta 12.547
Month-1 Delta 12.395
Month-1 Delta 11.557
Month-1 Alpha 11.028
Month-1 Alpha 2.305
Month-1 Delta 28.954
Month-1 Delta 21.101
Month-1 Delta 17.097
Month-1 Charlie 3.51
Month-1 Alpha 15.219
Month-1 Alpha 6.6
Month-1 Alpha 3.988
Month-1 Alpha 4.001
Month-1 Alpha 2.332
Month-1 Alpha 2.252
Month-1 Alpha 11.091
Month-1 Alpha 4.039
Month-1 Alpha 8.328
Month-1 Alpha 18.272
Month-1 Alpha 5.773
Month-1 Bravo 6.07
Month-1 Bravo 3.601
Month-1 Bravo 44.923
Month-1 Bravo 4.894
Month-1 Bravo 3.662
Month-1 Bravo 9.469
Month-1 Bravo 5.546
Month-1 Bravo 5.034
Month-1 Bravo 6.52
Month-1 Bravo 2.846
Month-1 Bravo 3.516
Month-1 Bravo 5.682
Month-1 Bravo 4.591
Month-1 Bravo 3.893
Month-1 Alpha 12.456
Month-1 Bravo 4.343
Month-1 Alpha 3.196
Month-1 Alpha 9.151
Month-1 Alpha 12.077
Month-1 Alpha 1.931
Month-1 Alpha 6.058
Month-1 Delta 58.437
Month-1 Alpha 20.32
Month-1 Alpha 1.722
Month-1 Alpha 1.98
Month-1 Alpha 1.76
Month-1 Alpha 1.7
Month-1 Alpha 1.884
Month-1 Delta 10.765
Month-1 Delta 8.881
Month-1 Alpha 11.928
Month-1 Delta 9.632
Month-1 Alpha 5.476
Month-1 Delta 9.346
Month-1 Delta 9.783
Month-1 Delta 9.853
Month-1 Delta 9.639
Month-1 Delta 9.965
Month-1 Alpha 2.849
Month-1 Alpha 1.616
Month-1 Delta 55.333
Month-1 Charlie 6.258
Month-1 Delta 19.606
Month-1 Alpha 2.481
Month-1 Charlie 4.244
Month-1 Delta 11.938
Month-1 Delta 12.076
Month-1 Delta 10.264
Month-1 Delta 12.039
Month-1 Charlie 4.434
Month-1 Delta 12.381
Month-1 Delta 11.412
Month-1 Delta 10.956
Month-1 Delta 11.175
Month-1 Bravo 4.578
Month-1 Delta 11.381
Month-1 Delta 10.895
Month-1 Delta 16.765
Month-1 Delta 13.821
Month-1 Delta 12.06
Month-1 Bravo 3.37
Month-1 Delta 11.231
Month-1 Delta 10.368
Month-1 Alpha 2.335
