time value latency
2026-04-30-10 --ALL-- 100
2026-04-30-10 customer-A 206
2026-04-30-10 --ALL-- 206
2026-04-30-10 customer-B 133
2026-04-30-10 --ALL-- 133
2026-04-30-10 customer-B 85
2026-04-30-10 --ALL-- 85
2026-04-30-10 customer-C 24
2026-04-30-10 --ALL-- 24
2026-04-30-10 customer-B 56
2026-04-30-10 --ALL-- 56
2026-04-30-10 customer-B 213
2026-04-30-10 --ALL-- 213
2026-04-30-10 customer-B 52
2026-04-30-10 --ALL-- 52
2026-04-30-10 customer-B 72
2026-04-30-10 --ALL-- 72
2026-04-30-10 customer-A 230
2026-04-30-10 --ALL-- 230
2026-04-30-10 customer-B 124
2026-04-30-10 --ALL-- 124
2026-04-30-10 customer-C 22
2026-04-30-10 --ALL-- 22
2026-04-30-10 customer-B 30
2026-04-30-10 --ALL-- 30
2026-04-30-10 customer-C 72
2026-04-30-10 --ALL-- 72
2026-04-30-10 customer-C 190
2026-04-30-10 --ALL-- 190
2026-04-30-10 customer-C 54
2026-04-30-10 --ALL-- 54
2026-04-30-10 customer-C 105
2026-04-30-10 --ALL-- 105
2026-04-30-10 customer-B 200
2026-04-30-10 --ALL-- 200
2026-04-30-10 customer-A 662
2026-04-30-10 --ALL-- 662
2026-04-30-10 customer-A 148
2026-04-30-10 --ALL-- 148
2026-04-30-10 customer-A 117
2026-04-30-10 --ALL-- 117
2026-04-30-10 customer-A 138
2026-04-30-10 --ALL-- 138
2026-04-30-10 customer-A 1453
2026-04-30-10 --ALL-- 1453
2026-04-30-10 customer-A 1098
2026-04-30-10 --ALL-- 1098
2026-04-30-10 customer-C 279
2026-04-30-10 --ALL-- 279
2026-04-30-10 customer-A 459
2026-04-30-10 --ALL-- 459
2026-04-30-10 customer-D 143
2026-04-30-10 --ALL-- 143
2026-04-30-10 customer-A 660
2026-04-30-10 --ALL-- 660
2026-04-30-10 customer-B 107
2026-04-30-10 --ALL-- 107
2026-04-30-10 customer-E 24
2026-04-30-10 --ALL-- 24
2026-04-30-10 customer-B 1146
2026-04-30-10 --ALL-- 1146
2026-04-30-10 customer-B 53
2026-04-30-10 --ALL-- 53
2026-04-30-10 customer-B 43
2026-04-30-10 --ALL-- 43
2026-04-30-10 customer-B 963
2026-04-30-10 --ALL-- 963
2026-04-30-10 customer-B 28
2026-04-30-10 --ALL-- 28
2026-04-30-10 customer-A 170
2026-04-30-10 --ALL-- 170
2026-04-30-10 customer-C 395
2026-04-30-10 --ALL-- 395
2026-04-30-10 customer-A 24
2026-04-30-10 --ALL-- 24
2026-04-30-10 customer-A 453
2026-04-30-10 --ALL-- 453
2026-04-30-10 customer-A 1373
2026-04-30-10 --ALL-- 1373
2026-04-30-10 customer-C 112
2026-04-30-10 --ALL-- 112
2026-04-30-10 customer-A 161
2026-04-30-10 --ALL-- 161
2026-04-30-10 customer-A 119
2026-04-30-10 --ALL-- 119
2026-04-30-10 customer-D 293
2026-04-30-10 --ALL-- 293
2026-04-30-10 customer-A 293
2026-04-30-10 --ALL-- 293
2026-04-30-10 customer-A 290
2026-04-30-10 --ALL-- 290
2026-04-30-10 customer-C 24
2026-04-30-10 --ALL-- 24
2026-04-30-10 customer-C 22
2026-04-30-10 --ALL-- 22
2026-04-30-10 customer-A 96
2026-04-30-10 --ALL-- 96
2026-04-30-10 customer-A 90
2026-04-30-10 --ALL-- 90
2026-04-30-10 customer-A 1103
2026-04-30-10 --ALL-- 1103
2026-04-30-10 customer-C 137
2026-04-30-10 --ALL-- 137
2026-04-30-10 customer-B 3195
2026-04-30-10 --ALL-- 3195
2026-04-30-10 customer-B 66
2026-04-30-10 --ALL-- 66
2026-04-30-10 customer-A 881
2026-04-30-10 --ALL-- 881
2026-04-30-10 customer-A 36
2026-04-30-10 --ALL-- 36
2026-04-30-10 customer-A 1393
2026-04-30-10 --ALL-- 1393
2026-04-30-10 customer-A 40
2026-04-30-10 --ALL-- 40
2026-04-30-10 customer-A 22
2026-04-30-10 --ALL-- 22
2026-04-30-10 customer-A 123
2026-04-30-10 --ALL-- 123
2026-04-30-10 customer-A 122
2026-04-30-10 --ALL-- 122
2026-04-30-10 customer-A 767
2026-04-30-10 --ALL-- 767
2026-04-30-10 customer-A 1726
2026-04-30-10 --ALL-- 1726
2026-04-30-10 customer-A 112
2026-04-30-10 --ALL-- 112
2026-04-30-10 customer-A 69
2026-04-30-10 --ALL-- 69
2026-04-30-10 customer-A 84
2026-04-30-10 --ALL-- 84
2026-04-30-10 customer-A 272
2026-04-30-10 --ALL-- 272
2026-04-30-10 customer-A 115
2026-04-30-10 --ALL-- 115
2026-04-30-10 customer-A 274
2026-04-30-10 --ALL-- 274
2026-04-30-10 customer-A 232
2026-04-30-10 --ALL-- 232
2026-04-30-10 customer-A 239
2026-04-30-10 --ALL-- 239
2026-04-30-10 customer-A 62
2026-04-30-10 --ALL-- 62
2026-04-30-10 customer-A 62
2026-04-30-10 --ALL-- 62
2026-04-30-10 customer-A 25
2026-04-30-10 --ALL-- 25
2026-04-30-10 customer-A 260
2026-04-30-10 --ALL-- 260
2026-04-30-10 customer-A 375
2026-04-30-10 --ALL-- 375
2026-04-30-10 customer-B 28
2026-04-30-10 --ALL-- 28
2026-04-30-10 customer-A 149
2026-04-30-10 --ALL-- 149
2026-04-30-10 customer-A 44
2026-04-30-10 --ALL-- 44
2026-04-30-10 customer-A 451
2026-04-30-10 --ALL-- 451
2026-04-30-10 customer-A 91
2026-04-30-10 --ALL-- 91
2026-04-30-10 customer-A 91
2026-04-30-10 --ALL-- 91
2026-04-30-10 customer-A 97
2026-04-30-10 --ALL-- 97
2026-04-30-10 customer-A 62
2026-04-30-10 --ALL-- 62
2026-04-30-10 customer-A 57
2026-04-30-10 --ALL-- 57
2026-04-30-10 customer-A 151
2026-04-30-10 --ALL-- 151
2026-04-30-10 customer-A 222
2026-04-30-10 --ALL-- 222
2026-04-30-10 customer-A 185
2026-04-30-10 --ALL-- 185
2026-04-30-10 customer-E 25
2026-04-30-10 --ALL-- 25
2026-04-30-10 customer-A 43
2026-04-30-10 --ALL-- 43
2026-04-30-10 customer-A 306
2026-04-30-10 --ALL-- 306
2026-04-30-10 customer-A 124
2026-04-30-10 --ALL-- 124
2026-04-30-10 customer-A 171
2026-04-30-10 --ALL-- 171
2026-04-30-10 customer-A 357
2026-04-30-10 --ALL-- 357
2026-04-30-10 customer-A 113
2026-04-30-10 --ALL-- 113
2026-04-30-10 customer-B 391
2026-04-30-10 --ALL-- 391
2026-04-30-10 customer-A 2335
2026-04-30-10 --ALL-- 2335
2026-04-30-10 customer-A 25
2026-04-30-10 --ALL-- 25
2026-04-30-10 customer-E 24
2026-04-30-10 --ALL-- 24
2026-04-30-10 customer-A 275
2026-04-30-10 --ALL-- 275
2026-04-30-10 customer-E 23
2026-04-30-10 --ALL-- 23
2026-04-30-10 customer-A 403
2026-04-30-10 --ALL-- 403
2026-04-30-10 customer-A 158
2026-04-30-10 --ALL-- 158
2026-04-30-10 customer-A 72
2026-04-30-10 --ALL-- 72
2026-04-30-10 customer-A 54
2026-04-30-10 --ALL-- 54
2026-04-30-10 customer-A 82
2026-04-30-10 --ALL-- 82
2026-04-30-10 customer-E 24
2026-04-30-10 --ALL-- 24
2026-04-30-10 customer-A 180
2026-04-30-10 --ALL-- 180
2026-04-30-10 customer-E 110
2026-04-30-10 --ALL-- 110
2026-04-30-10 customer-E 41
2026-04-30-10 --ALL-- 41
2026-04-30-10 customer-E 261
2026-04-30-10 --ALL-- 261
2026-04-30-10 customer-E 57
2026-04-30-10 --ALL-- 57
2026-04-30-10 customer-A 306
2026-04-30-10 --ALL-- 306
2026-04-30-10 customer-I 26
2026-04-30-10 --ALL-- 26
2026-04-30-10 customer-A 182
2026-04-30-10 --ALL-- 182
2026-04-30-10 customer-A 647
2026-04-30-10 --ALL-- 647
2026-04-30-10 customer-A 193
2026-04-30-10 --ALL-- 193
2026-04-30-10 customer-A 97
2026-04-30-10 --ALL-- 97
2026-04-30-10 customer-A 309
2026-04-30-10 --ALL-- 309
2026-04-30-10 customer-A 57
2026-04-30-10 --ALL-- 57
2026-04-30-10 customer-A 35
2026-04-30-10 --ALL-- 35
2026-04-30-10 customer-A 31
2026-04-30-10 --ALL-- 31
2026-04-30-10 customer-A 129
2026-04-30-10 --ALL-- 129
2026-04-30-10 customer-A 118
2026-04-30-10 --ALL-- 118
2026-04-30-10 customer-A 116
2026-04-30-10 --ALL-- 116
2026-04-30-10 customer-A 52
2026-04-30-10 --ALL-- 52
2026-04-30-10 customer-A 246
2026-04-30-10 --ALL-- 246
2026-04-30-10 customer-A 88
2026-04-30-10 --ALL-- 88
2026-04-30-10 customer-A 176
2026-04-30-10 --ALL-- 176
2026-04-30-10 customer-A 47
2026-04-30-10 --ALL-- 47
2026-04-30-10 customer-A 1725
2026-04-30-10 --ALL-- 1725
2026-04-30-10 customer-A 514
2026-04-30-10 --ALL-- 514
2026-04-30-10 customer-A 175
2026-04-30-10 --ALL-- 175
2026-04-30-10 customer-A 81
2026-04-30-10 --ALL-- 81
2026-04-30-10 customer-A 47
2026-04-30-10 --ALL-- 47
2026-04-30-10 customer-A 91
2026-04-30-10 --ALL-- 91
2026-04-30-10 customer-A 160
2026-04-30-10 --ALL-- 160
2026-04-30-10 customer-A 148
2026-04-30-10 --ALL-- 148
2026-04-30-10 customer-A 27
2026-04-30-10 --ALL-- 27
2026-04-30-10 customer-A 100
2026-04-30-10 --ALL-- 100
2026-04-30-10 customer-A 1546
2026-04-30-10 --ALL-- 1546
2026-04-30-10 customer-C 36
2026-04-30-10 --ALL-- 36
2026-04-30-10 customer-B 1346
2026-04-30-10 --ALL-- 1346
2026-04-30-10 customer-B 86
2026-04-30-10 --ALL-- 86
2026-04-30-10 customer-A 137
2026-04-30-10 --ALL-- 137
2026-04-30-10 customer-B 206
2026-04-30-10 --ALL-- 206
2026-04-30-10 customer-A 86
2026-04-30-10 --ALL-- 86
2026-04-30-10 customer-B 80
2026-04-30-10 --ALL-- 80
2026-04-30-10 customer-A 111
2026-04-30-10 --ALL-- 111
2026-04-30-10 customer-B 260
2026-04-30-10 --ALL-- 260
2026-04-30-10 customer-B 106
2026-04-30-10 --ALL-- 106
2026-04-30-10 customer-B 229
2026-04-30-10 --ALL-- 229
2026-04-30-10 customer-B 324
2026-04-30-10 --ALL-- 324
2026-04-30-10 customer-B 72
2026-04-30-10 --ALL-- 72
2026-04-30-10 customer-A 110
2026-04-30-10 --ALL-- 110
2026-04-30-10 customer-A 148
2026-04-30-10 --ALL-- 148
2026-04-30-10 customer-A 27
2026-04-30-10 --ALL-- 27
2026-04-30-10 customer-A 90
2026-04-30-10 --ALL-- 90
2026-04-30-10 customer-A 28
2026-04-30-10 --ALL-- 28
2026-04-30-10 customer-A 152
2026-04-30-10 --ALL-- 152
2026-04-30-10 customer-A 163
2026-04-30-10 --ALL-- 163
2026-04-30-10 customer-A 75
2026-04-30-10 --ALL-- 75
2026-04-30-10 customer-A 281
2026-04-30-10 --ALL-- 281
2026-04-30-10 customer-A 59
2026-04-30-10 --ALL-- 59
2026-04-30-10 customer-A 356
2026-04-30-10 --ALL-- 356
2026-04-30-10 customer-E 16
2026-04-30-10 --ALL-- 16
2026-04-30-10 customer-A 58
2026-04-30-10 --ALL-- 58
2026-04-30-10 customer-A 186
2026-04-30-10 --ALL-- 186
2026-04-30-10 customer-B 163
2026-04-30-10 --ALL-- 163
2026-04-30-10 customer-A 189
2026-04-30-10 --ALL-- 189
2026-04-30-10 customer-A 83
2026-04-30-10 --ALL-- 83
2026-04-30-10 customer-A 58
2026-04-30-10 --ALL-- 58
2026-04-30-10 customer-A 74
2026-04-30-10 --ALL-- 74
2026-04-30-10 customer-B 209
2026-04-30-10 --ALL-- 209
2026-04-30-10 customer-B 234
2026-04-30-10 --ALL-- 234
2026-04-30-10 customer-A 725
2026-04-30-10 --ALL-- 725
2026-04-30-10 customer-B 7354
2026-04-30-10 --ALL-- 7354
2026-04-30-10 customer-B 75
2026-04-30-10 --ALL-- 75
2026-04-30-10 customer-E 24
2026-04-30-10 --ALL-- 24
2026-04-30-10 customer-B 867
2026-04-30-10 --ALL-- 867
2026-04-30-10 customer-A 86
2026-04-30-10 --ALL-- 86
2026-04-30-10 customer-B 83
2026-04-30-10 --ALL-- 83
2026-04-30-10 customer-A 835
2026-04-30-10 --ALL-- 835
2026-04-30-10 customer-B 24
2026-04-30-10 --ALL-- 24
2026-04-30-10 customer-A 773
2026-04-30-10 --ALL-- 773
2026-04-30-10 customer-A 173
2026-04-30-10 --ALL-- 173
2026-04-30-10 customer-A 264
2026-04-30-10 --ALL-- 264
